      ^2/2<num>$ ^Claude/*Claude$
      ^2/2<num>$ ^Célestine/*Célestine$
      ^2/2<num>$ ^câg/*câg$
      ^2/2<num>$ ^cadtə̀/*cadtə̀$
      ^2/2<num>$ ^caʼa/*caʼa$
      ^2/2<num>$ ^Ca/*Ca$
      ^2/2<num>$ ^bwòŋ/*bwòŋ$
      ^2/2<num>$ ^bwôg/*bwôg$
      ^2/2<num>$ ^bulu/*bulu$
      ^2/2<num>$ ^bùbu/*bùbu$
      ^2/2<num>$ ^bùʼ/*bùʼ$
      ^2/2<num>$ ^Bôn/*Bôn$
      ^2/2<num>$ ^Bodomo/*Bodomo$
      ^2/2<num>$ ^Bǐn/*Bǐn$
      ^2/2<num>$ ^bia/*bia$
      ^2/2<num>$ ^bî/*bî$
      ^2/2<num>$ ^Bétare/*Bétare$-^oya/*oya$
      ^2/2<num>$ ^Batié/*Batié$
      ^2/2<num>$ ^bassa/*bassa$
      ^2/2<num>$ ^bantoue/*bantoue$
      ^2/2<num>$ ^Bansoa/*Bansoa$
      ^2/2<num>$ ^bankon/*bankon$
      ^2/2<num>$ ^Banen/*Banen$
      ^2/2<num>$ ^Bandenkop/*Bandenkop$
      ^2/2<num>$ ^bamoun/*bamoun$
      ^2/2<num>$ ^Bamilɛkɛ/*Bamilɛkɛ$
      ^2/2<num>$ ^bàmilɛkɛ/*bàmilɛkɛ$
      ^2/2<num>$ ^Bamesso/*Bamesso$
      ^2/2<num>$ ^bakweri/*bakweri$
      ^2/2<num>$ ^Bahouan/*Bahouan$
      ^2/2<num>$ ^bǎgngɔ̌/*bǎgngɔ̌$
      ^2/2<num>$ ^bafia/*bafia$
      ^2/2<num>$ ^Bɑ̌/*Bɑ̌$
      ^2/2<num>$ ^B/*B$
      ^2/2<num>$ ^aux/*aux$
      ^2/2<num>$ ^Amɛrika/*Amɛrika$
      ^1/1<num>$ ^zitə̀/*zitə̀$
      ^1/1<num>$ ^zìnə/*zìnə$
      ^1/1<num>$ ^zilɑ/*zilɑ$
      ^1/1<num>$ ^zì/*zì$
      ^1/1<num>$ ^zîʼ/*zîʼ$
      ^1/1<num>$ ^zə̂tə̀/*zə̂tə̀$
      ^1/1<num>$ ^zə̌/*zə̌$
      ^1/1<num>$ ^ywintə/*ywintə$
      ^1/1<num>$ ^ywìmtə̀/*ywìmtə̀$
      ^1/1<num>$ ^ywǐd/*ywǐd$
      ^1/1<num>$ ^ywɛ̌n/*ywɛ̌n$
      ^1/1<num>$ ^yǔn/*yǔn$
      ^1/1<num>$ ^yǔb/*yǔb$
      ^1/1<num>$ ^you/*you$
      ^1/1<num>$ ^yog̀/*yog̀$
      ^1/1<num>$ ^yinə/*yinə$
      ^1/1<num>$ ^yǐd/*yǐd$
      ^1/1<num>$ ^yid/*yid$
      ^1/1<num>$ ^yî/*yî$
      ^1/1<num>$ ^Yə̂nnî/*Yə̂nnî$
      ^1/1<num>$ ^Yənnɑ/*Yənnɑ$
      ^1/1<num>$ ^yennɑ/*yennɑ$
      ^1/1<num>$ ^yənɑ/*yənɑ$
      ^1/1<num>$ ^yəbtə/*yəbtə$
      ^1/1<num>$ ^Yayuɛ/*Yayuɛ$
      ^1/1<num>$ ^Yayoué/*Yayoué$
      ^1/1<num>$ ^yamə/*yamə$
      ^1/1<num>$ ^yam/*yam$
      ^1/1<num>$ ^yalô/*yalô$
      ^1/1<num>$ ^wu/*wu$
      ^1/1<num>$ ^Wouri/*Wouri$
      ^1/1<num>$ ^wouri/*wouri$
      ^1/1<num>$ ^wəlo/*wəlo$
      ^1/1<num>$ ^we/*we$
      ^1/1<num>$ ^wag/*wag$
      ^1/1<num>$ ^Wǎ/*Wǎ$
      ^1/1<num>$ ^village/*village$
      ^1/1<num>$ ^və̀/*və̀$
      ^1/1<num>$ ^Université/*Université$
      ^1/1<num>$ ^Unité/*Unité$
      ^1/1<num>$ ^UDM/*UDM$
      ^1/1<num>$ ^ǔ/*ǔ$
      ^1/1<num>$ ^twsitə/*twsitə$
